DATE,CPIAUCSL
2013-01-01,231.679
2013-02-01,232.937
2013-03-01,232.282
2013-04-01,231.797
2013-05-01,231.893
2013-06-01,232.445
2013-07-01,232.9
2013-08-01,233.456
2013-09-01,233.544
2013-10-01,233.669
2013-11-01,234.1
2013-12-01,234.719
2014-01-01,235.288
2014-02-01,235.547
2014-03-01,236.028
2014-04-01,236.468
2014-05-01,236.918
2014-06-01,237.231
2014-07-01,237.498
2014-08-01,237.46
2014-09-01,237.477
2014-10-01,237.43
2014-11-01,236.983
2014-12-01,236.252
2015-01-01,234.747
2015-02-01,235.342
2015-03-01,235.976
2015-04-01,236.222
2015-05-01,237.001
2015-06-01,237.657
2015-07-01,238.034
2015-08-01,238.033
2015-09-01,237.498
2015-10-01,237.733
2015-11-01,238.017
2015-12-01,237.761
2016-01-01,237.652
2016-02-01,237.336
2016-03-01,238.08
2016-04-01,238.992
2016-05-01,239.557
2016-06-01,240.222
2016-07-01,240.101
2016-08-01,240.545
2016-09-01,241.176
2016-10-01,241.741
2016-11-01,242.026
2016-12-01,242.637
2017-01-01,243.618
2017-02-01,244.006
2017-03-01,243.892
2017-04-01,244.193
2017-05-01,244.004
2017-06-01,244.163
2017-07-01,244.243
2017-08-01,245.183
2017-09-01,246.435
2017-10-01,246.626
2017-11-01,247.284
2017-12-01,247.805
2018-01-01,248.859
2018-02-01,249.529
2018-03-01,249.577
2018-04-01,250.227
2018-05-01,250.792
2018-06-01,251.018
2018-07-01,251.214
2018-08-01,251.663
2018-09-01,252.182
2018-10-01,252.772
2018-11-01,252.594
2018-12-01,252.767
2019-01-01,252.561
2019-02-01,253.319
2019-03-01,254.277
2019-04-01,255.233
2019-05-01,255.296
2019-06-01,255.213
2019-07-01,255.802
2019-08-01,256.036
2019-09-01,256.43
2019-10-01,257.155
2019-11-01,257.879
2019-12-01,258.63
2020-01-01,258.906
2020-02-01,259.246
2020-03-01,258.15
2020-04-01,256.126
2020-05-01,255.848
2020-06-01,257.004
2020-07-01,258.408
2020-08-01,259.366
2020-09-01,259.951
2020-10-01,260.249
2020-11-01,260.895
2020-12-01,262.005
2021-01-01,262.518
2021-02-01,263.583
2021-03-01,264.91
2021-04-01,266.752
2021-05-01,268.452
2021-06-01,270.664
2021-07-01,271.994
2021-08-01,272.789
2021-09-01,273.887
2021-10-01,276.434
2021-11-01,278.799
2021-12-01,280.808
2022-01-01,282.39
2022-02-01,284.535
2022-03-01,287.553
2022-04-01,288.764
2022-05-01,291.359
2022-06-01,294.996
2022-07-01,294.977
2022-08-01,295.209
2022-09-01,296.341
2022-10-01,297.863
2022-11-01,298.648
2022-12-01,298.812
2023-01-01,300.356
2023-02-01,301.509
2023-03-01,301.744
2023-04-01,303.032
2023-05-01,303.365
2023-06-01,304.003
2023-07-01,304.628
2023-08-01,306.187
2023-09-01,307.288
2023-10-01,307.531
2023-11-01,308.024
2023-12-01,308.742
2024-01-01,309.685
